province,population,area
Seoul,9904312,605.2
Busan,3448737,769.6
Daegu,2466052,883.6
Gwangju,1502881,501.2
Incheon,2890451,1062.6
Daejeon,1538394,539.3
Ulsan,1166615,1060.8
Sejong,204088,464.9
Gyeonggi-do,12479061,10183.5
Gangwon-do,1518040,16827.1
Chungcheongbuk-do,1589377,7407.3
Chungcheongnam-do,2107802,8226.1
Jeollabuk-do,1834114,8069.1
Jeollanam-do,1799044,12318.8
Gyeongsangbuk-do,2680294,19031.4
Gyeongsangnam-do,3334524,10539.6
Jeju-do,605619,1849.1
